ID,Symbol,Open Time,Volume,Side,Close Time,Open Price,Close Price,Stop Loss,Take Profit,Swap,Commission,Profit,Reason
W8049340821100862,NDX100,22/04/2026 14:30:32,0.03,SELL,22/04/2026 14:39:52,26826.33,26846.55,26846.05,26663.88,0.00,0.00,-12.13,SL
W8050440203101620,NDX100,22/04/2026 14:32:36,0.03,SELL,22/04/2026 14:39:52,26808.70,26846.55,26845.98,26665.12,0.00,0.00,-22.71,SL
W8050440203100235,NDX100,22/04/2026 13:56:39,0.06,SELL,22/04/2026 14:00:42,26694.86,26733.33,26733.24,26620.73,0.00,0.00,-46.16,SL
W805044020368621,NDX100,21/04/2026 13:44:23,0.06,BUY,21/04/2026 15:00:24,26603.68,26566.58,26567.46,26741.23,0.00,0.00,-44.52,SL
W804934082168562,NDX100,21/04/2026 13:40:09,0.08,SELL,21/04/2026 13:45:03,26586.33,26622.05,26621.57,26503.19,0.00,0.00,-57.15,SL
W804934082136642,NDX100,20/04/2026 14:32:16,0.06,SELL,20/04/2026 14:51:20,26575.10,26459.85,26618.23,26460.21,0.00,0.00,138.30,TP
W804934082136255,NDX100,20/04/2026 14:26:30,0.04,BUY,20/04/2026 14:31:29,26614.44,26556.00,26556.85,26682.68,0.00,0.00,-46.75,SL
W78299695711359103,NDX100,17/04/2026 13:36:25,0.06,BUY,17/04/2026 14:34:44,26533.68,26638.70,26533.94,26649.90,0.00,0.00,126.02,User
W78299695711358555,NDX100,17/04/2026 13:31:02,0.11,BUY,17/04/2026 13:33:09,26543.55,26506.70,26506.87,26654.49,0.00,0.00,-81.07,SL
W78299695711357700,NDX100,17/04/2026 13:20:13,0.07,SELL,17/04/2026 13:27:47,26616.20,26546.05,26660.26,26547.31,0.00,0.00,98.21,TP
W78299695711247812,NDX100,15/04/2026 11:44:37,0.09,BUY,15/04/2026 14:00:01,25825.93,25911.08,25764.87,25910.76,0.00,0.00,153.27,TP
W78299695711233692,NDX100,15/04/2026 06:43:42,0.08,BUY,15/04/2026 10:15:56,25833.43,25797.05,25797.07,25914.80,0.00,0.00,-58.21,SL
W78469233451242557,NDX100,15/04/2026 08:52:51,0.09,BUY,15/04/2026 09:11:03,25861.18,25832.58,25833.27,25914.57,0.00,0.00,-51.48,SL
W78469233451201390,NDX100,14/04/2026 13:29:16,0.28,BUY,14/04/2026 13:32:10,25508.30,25545.20,25487.81,25551.47,0.00,0.00,206.64,User
W78299695711196562,NDX100,14/04/2026 13:00:35,0.37,BUY,14/04/2026 13:26:50,25515.30,25496.45,25496.55,25552.50,0.00,0.00,-139.49,SL
W78469233451070038,NDX100,10/04/2026 14:19:23,0.10,BUY,10/04/2026 14:32:18,25157.31,25206.21,25101.28,25204.16,0.00,0.00,97.80,TP
W78469233451069134,NDX100,10/04/2026 14:12:00,0.03,SELL,10/04/2026 14:19:12,25111.46,25156.44,25207.59,24789.76,0.00,0.00,-26.99,User
W78299695711055155,NDX100,10/04/2026 11:45:31,0.10,SELL,10/04/2026 12:29:56,25116.46,25139.71,25139.67,24789.37,0.00,0.00,-46.50,SL
W78299695711049112,NDX100,10/04/2026 09:54:15,0.08,SELL,10/04/2026 11:01:39,25091.59,25121.69,25121.58,24786.15,0.00,0.00,-48.16,SL
W7829969571987538,NDX100,09/04/2026 12:12:23,0.03,BUY,09/04/2026 14:36:22,24869.08,24789.66,24789.68,24981.80,0.00,0.00,-47.65,SL
W7846923345977463,NDX100,09/04/2026 09:41:11,0.04,BUY,09/04/2026 10:13:55,24834.83,24839.23,24779.33,24959.74,0.00,0.00,3.52,User
W7829969571828434,NDX100,07/04/2026 13:00:39,0.02,BUY,07/04/2026 14:00:18,24046.18,23936.45,23943.97,24325.59,0.00,0.00,-43.89,SL
Total,,,,,,,,,,0.00,0.00,50.90,